strategy,n_labels,accuracy,macro_f1,f1_AGN,f1_STAR,f1_COMPACT_OBJECT
random,210,0.8314350797266514,0.5678322245958919,0.8324607329842932,0.8710359408033826,0.0
random,230,0.8405466970387244,0.572565445026178,0.837696335078534,0.88,0.0
random,250,0.8428246013667426,0.6033269753315615,0.844559585492228,0.8784648187633263,0.08695652173913043
random,270,0.8451025056947609,0.6048481090698167,0.845360824742268,0.8822269807280514,0.08695652173913043
random,290,0.8542141230068337,0.6403069388627761,0.8497409326424871,0.8893617021276595,0.18181818181818182
random,310,0.8519362186788155,0.6118739489654165,0.8505154639175257,0.8851063829787233,0.1
random,330,0.8519362186788155,0.6121375226092538,0.8527918781725888,0.8836206896551724,0.1
random,350,0.856492027334852,0.6469254953571689,0.8556701030927835,0.8851063829787233,0.2
random,370,0.856492027334852,0.6403886372016437,0.8564231738035264,0.8908296943231441,0.17391304347826086
random,390,0.8610478359908884,0.5868836938314762,0.8693467336683417,0.8913043478260869,0.0
random,410,0.8633257403189066,0.6520099201482571,0.8641975308641975,0.891832229580574,0.2
random,430,0.8656036446469249,0.6508883205224655,0.868020304568528,0.8941684665226782,0.19047619047619047
random,450,0.8610478359908884,0.6176119239410379,0.8658227848101265,0.8917748917748918,0.09523809523809523
random,470,0.856492027334852,0.6136798391116192,0.8607594936708861,0.8893709327548807,0.09090909090909091
random,490,0.8610478359908884,0.645429001012625,0.8607594936708861,0.8937093275488069,0.18181818181818182
random,510,0.8587699316628702,0.6158444271242537,0.8585858585858586,0.8937093275488069,0.09523809523809523
random,530,0.8633257403189066,0.6468751326106005,0.8607594936708861,0.8980477223427332,0.18181818181818182
random,550,0.8610478359908884,0.61745040877666,0.8614609571788413,0.8956521739130435,0.09523809523809523
random,570,0.8656036446469249,0.6212687438006885,0.8629441624365483,0.9008620689655172,0.1
random,590,0.856492027334852,0.5822474566193159,0.8592964824120602,0.8874458874458875,0.0
random,610,0.856492027334852,0.5833775004507777,0.8564231738035264,0.8937093275488069,0.0
random,630,0.8701594533029613,0.6236343038983693,0.8693467336683417,0.906318082788671,0.09523809523809523
random,650,0.8724373576309795,0.6529700936433055,0.8695652173913043,0.9075268817204301,0.18181818181818182
random,670,0.8724373576309795,0.6854329917621057,0.8658227848101265,0.9047619047619048,0.2857142857142857
random,690,0.8678815489749431,0.6228768533960322,0.8658227848101265,0.9028077753779697,0.1
random,710,0.8724373576309795,0.6576500715385807,0.8658227848101265,0.9071274298056156,0.2
random,730,0.876993166287016,0.6607777200608761,0.8708860759493671,0.9114470842332614,0.2
random,750,0.8747152619589977,0.6300823830040005,0.8728179551122195,0.906318082788671,0.1111111111111111
random,770,0.8815489749430524,0.6347931772066947,0.8822055137844611,0.911062906724512,0.1111111111111111
random,790,0.876993166287016,0.6316766482966053,0.8756218905472637,0.9082969432314411,0.1111111111111111
random,810,0.8747152619589977,0.6299250216153992,0.871536523929471,0.9071274298056156,0.1111111111111111
random,830,0.8701594533029613,0.5907181696821038,0.8693467336683417,0.9028077753779697,0.0
random,30,0.4624145785876993,0.4205306223654848,0.5932721712538226,0.5765765765765766,0.09174311926605505
random,50,0.6788154897494305,0.5368483255699869,0.712707182320442,0.7599067599067599,0.13793103448275862
random,70,0.7380410022779044,0.5507426260241614,0.7163323782234957,0.828752642706131,0.10714285714285714
random,90,0.8246013667425968,0.6053521641756936,0.8288770053475936,0.8760683760683761,0.1111111111111111
